Scenario,Swap PV,DV01,Par Rate,Curve End DF
Base,7.450580596923828e-09,-79214.24685506523,0.05604699999999999,0.5709972423456975
Parallel +25bp,1957999.8103526905,-77432.83782909438,0.05862176781309408,0.5568878271824793
Parallel -25bp,-2003070.152489096,-81038.63992485031,0.053478588530301,0.5854641363161922
2s10s Steepener,1141572.7254342884,-78146.69524750486,0.0575392625541675,0.5624892660732504
2s10s Flattener,-1157765.6064041257,-80297.26650187746,0.05455358121790926,0.5796339066920662
Front-End Stress,17274.89983704686,-79211.6767963171,0.05606944146210666,0.5709972423456975
Basis Widening,803141.8440470994,-78888.31530787423,0.0570899180386773,0.5653110784440708
Funding Spread +10bp,-10543.860495068133,-78820.2244999446,0.05603323908812981,0.5709972423456975
Funding Spread +25bp,-26159.495480686426,-78234.03504284471,0.056012600289328765,0.5709972423456975
Convexity Off,7.450580596923828e-09,-79212.68774731085,0.05604700000000001,0.5709925968253091
